@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric

@data
1,'2021/06/24 18:47:43:240',1,216,15,93,0.89,0.29,0.01,0.22,0.88,0.06
2,'2021/06/24 18:47:43:296',1,215,14,95,0.89,0.29,0.01,0.22,0.88,0.06
3,'2021/06/24 18:47:43:347',1,215,14,95,0.89,0.29,0.01,0.22,0.88,0.06
4,'2021/06/24 18:47:43:398',1,215,15,94,0.89,0.29,0.01,0.22,0.88,0.06
5,'2021/06/24 18:47:43:462',1,216,15,94,0.89,0.29,0.01,0.22,0.88,0.06
6,'2021/06/24 18:47:43:523',1,215,15,95,0.89,0.29,0.01,0.22,0.88,0.06
7,'2021/06/24 18:47:43:579',1,215,14,95,0.89,0.29,0.01,0.22,0.88,0.06
8,'2021/06/24 18:47:43:632',1,215,15,94,0.89,0.29,0.01,0.22,0.88,0.06
9,'2021/06/24 18:47:43:688',1,216,15,93,0.89,0.29,0.01,0.22,0.88,0.06
10,'2021/06/24 18:47:43:738',1,216,15,93,0.89,0.29,0.01,0.22,0.88,0.06
11,'2021/06/24 18:47:43:789',1,216,14,94,0.89,0.29,0.01,0.22,0.88,0.06
12,'2021/06/24 18:47:43:843',1,215,15,94,0.89,0.29,0.01,0.22,0.88,0.06
13,'2021/06/24 18:47:43:894',1,216,15,94,0.89,0.29,0.01,0.22,0.88,0.06
14,'2021/06/24 18:47:43:949',1,216,14,93,0.89,0.29,0.01,0.22,0.88,0.06
15,'2021/06/24 18:47:44:000',1,216,15,93,0.89,0.29,0.01,0.22,0.88,0.06
16,'2021/06/24 18:47:44:056',1,216,15,93,0.89,0.29,0.01,0.22,0.88,0.06
17,'2021/06/24 18:47:44:111',1,216,15,93,0.89,0.29,0.01,0.22,0.88,0.06
18,'2021/06/24 18:47:44:161',1,216,14,94,0.89,0.29,0.01,0.22,0.88,0.06
19,'2021/06/24 18:47:44:212',1,216,14,94,0.89,0.29,0.01,0.22,0.88,0.06
20,'2021/06/24 18:47:44:264',1,216,14,94,0.89,0.29,0.01,0.22,0.88,0.06
21,'2021/06/24 18:47:44:316',1,216,15,93,0.89,0.29,0.01,0.22,0.88,0.06
22,'2021/06/24 18:47:44:367',1,216,14,94,0.89,0.29,0.01,0.22,0.88,0.06
23,'2021/06/24 18:47:44:417',1,215,14,94,0.89,0.29,0.01,0.22,0.88,0.06
24,'2021/06/24 18:47:44:470',1,216,14,94,0.89,0.29,0.01,0.22,0.88,0.06
25,'2021/06/24 18:47:44:521',1,216,14,94,0.89,0.29,0.01,0.22,0.88,0.06
26,'2021/06/24 18:47:44:578',1,215,14,95,0.89,0.29,0.01,0.22,0.88,0.06
27,'2021/06/24 18:47:44:629',1,217,15,93,0.89,0.29,0.01,0.22,0.88,0.06
28,'2021/06/24 18:47:44:689',1,215,15,95,0.89,0.29,0.01,0.22,0.88,0.06
29,'2021/06/24 18:47:44:739',1,216,14,94,0.89,0.29,0.01,0.22,0.88,0.06
30,'2021/06/24 18:47:44:789',1,216,14,95,0.89,0.29,0.01,0.22,0.88,0.06
31,'2021/06/24 18:47:46:392',2,211,3,94,0.89,0.29,0.01,0.22,0.88,0.06
32,'2021/06/24 18:47:46:444',2,211,3,93,0.89,0.29,0.01,0.22,0.88,0.06
33,'2021/06/24 18:47:46:495',2,210,4,93,0.89,0.29,0.01,0.22,0.88,0.06
34,'2021/06/24 18:47:46:546',2,210,4,92,0.89,0.29,0.01,0.22,0.88,0.06
35,'2021/06/24 18:47:46:597',2,210,4,92,0.89,0.29,0.01,0.22,0.88,0.06
36,'2021/06/24 18:47:46:649',2,209,3,92,0.89,0.29,0.01,0.22,0.88,0.06
